time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-26T23:28:57.486Z,49.0949,157.9391,10,4.4,mb,,133,3.959,0.43,us,us70008h1w,2020-03-26T23:51:13.040Z,"219km SE of Severo-Kuril'sk, Russia",earthquake,11,1.9,0.086,39,reviewed,us,us
2020-03-26T23:10:38.060Z,19.3153324,-155.2168274,1.8,2.65,ml,50,84,0.03472,0.15,hv,hv71446432,2020-03-26T23:25:28.040Z,"9km SSE of Volcano, Hawaii",earthquake,0.24,0.5,2.66,31,automatic,hv,hv
2020-03-26T22:30:30.840Z,17.914,-66.7788,6,2.7,md,20,198,0.1175,0.19,pr,pr2020086027,2020-03-26T23:06:32.933Z,"9km SSE of Indios, Puerto Rico",earthquake,0.6,0.31,0.32,18,reviewed,pr,pr
2020-03-26T21:58:59.940Z,-4.0983,120.0381,30.65,4.3,mb,,97,0.953,0.44,us,us70008guk,2020-03-26T22:52:35.040Z,"3km NNE of Sengkang, Indonesia",earthquake,6.4,6,0.161,11,reviewed,us,us
2020-03-26T21:36:42.700Z,-2.9461,139.095,38,5.8,mww,,13,6.837,0.98,us,us70008gtk,2020-03-26T23:38:44.194Z,"169km WSW of Abepura, Indonesia",earthquake,4,1.9,0.059,28,reviewed,us,us
2020-03-26T20:53:30.070Z,41.2711667,-126.0298333,23.87,2.97,md,15,281,1.51,0.16,nc,nc73359915,2020-03-26T23:21:06.241Z,"160km W of Trinidad, CA",earthquake,1.72,12.54,0.21,18,reviewed,nc,nc
2020-03-26T20:34:17.402Z,-35.5161,-94.2736,10,4.7,mb,,213,17.078,1.3,us,us70008grd,2020-03-26T21:16:08.040Z,"West Chile Rise",earthquake,10.7,2,0.093,35,reviewed,us,us
2020-03-26T20:24:53.650Z,-56.5994,-26.881,67.8,5.3,mww,,54,5.939,0.71,us,us70008gqs,2020-03-26T22:26:34.089Z,"22km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.4,6.4,0.08,15,reviewed,us,us
2020-03-26T19:56:22.990Z,57.3716,-154.7924,40.2,2.5,ml,,,,0.39,ak,ak0203yjv4u3,2020-03-26T20:03:24.311Z,"52km WSW of Larsen Bay, Alaska",earthquake,,5.5,,,automatic,ak,ak
2020-03-26T19:33:21.360Z,17.9471,-66.6033,6,3.22,md,20,187,0.0957,0.16,pr,pr2020086025,2020-03-26T22:34:01.181Z,"7km S of Ponce, Puerto Rico",earthquake,0.48,0.3,0.18,19,reviewed,pr,pr
2020-03-26T18:58:31.400Z,17.9356,-66.8131,11,2.74,md,19,192,0.077,0.18,pr,pr2020086026,2020-03-26T21:46:55.928Z,"6km S of Indios, Puerto Rico",earthquake,0.6,0.56,0.24,13,reviewed,pr,pr
2020-03-26T18:52:26.081Z,31.6962,-104.03,6.38,3.1,ml,,50,0.211,0.28,us,us70008gnh,2020-03-26T23:24:11.952Z,"40km W of Mentone, Texas",earthquake,0.8,5.5,0.071,78,reviewed,us,us
2020-03-26T18:29:00.319Z,31.7051,-104.0556,5,3,ml,,52,0.23,0.29,us,us70008gmr,2020-03-26T23:05:01.122Z,"43km W of Mentone, Texas",earthquake,1.1,1.7,0.074,66,reviewed,us,us
2020-03-26T17:08:23.410Z,17.9615,-66.8961,14,2.78,md,17,189,0.0217,0.13,pr,pr2020086022,2020-03-26T19:55:37.407Z,"1km SE of Guanica, Puerto Rico",earthquake,0.43,0.42,0.49,8,reviewed,pr,pr
2020-03-26T17:00:04.169Z,36.35366667,-97.3545,6,3.36,ml,100,35,0,0.21,ok,ok2020gapk,2020-03-26T20:36:07.040Z,"10km NW of Perry, Oklahoma",earthquake,,0.4,0.21,38,reviewed,ok,ok
2020-03-26T16:30:27.070Z,35.9126667,-117.7371667,2.78,2.49,ml,27,52,0.07493,0.16,ci,ci39116647,2020-03-26T16:41:47.630Z,"16km E of Little Lake, CA",earthquake,0.21,0.44,0.191,25,automatic,ci,ci
2020-03-26T16:21:56.750Z,40.764,-111.9733333,5.6,2.95,ml,38,39,0.04388,0.17,uu,uu60370437,2020-03-26T23:14:54.281Z,"6km W of Salt Lake City, Utah",earthquake,0.27,0.57,0.153,18,reviewed,uu,uu
2020-03-26T16:16:16.699Z,31.7095,-103.9958,5,3,ml,,56,0.227,1.17,us,us70008giv,2020-03-26T23:12:05.662Z,"37km W of Mentone, Texas",earthquake,1.5,2,0.062,34,reviewed,us,us
2020-03-26T16:12:42.890Z,40.7686667,-111.9726667,5.61,3.25,ml,45,24,0.04291,0.18,uu,uu60370427,2020-03-26T23:27:52.122Z,"7km W of Salt Lake City, Utah",earthquake,0.23,0.63,0.131,8,reviewed,uu,uu
2020-03-26T15:38:03.702Z,5.6924,125.1746,54.26,6.1,mww,,42,20.835,0.69,us,us70008ghw,2020-03-26T17:44:45.151Z,"8km SW of Baliton, Philippines",earthquake,4.8,5.8,0.048,42,reviewed,us,us
2020-03-26T15:16:28.179Z,31.6989,-104.0533,8.52,5,mww,,50,0.228,0.34,us,us70008ggn,2020-03-26T23:39:16.032Z,"43km W of Mentone, Texas",earthquake,1.2,5.1,0.034,81,reviewed,us,us
2020-03-26T13:58:51.580Z,17.8391,-66.8815,13,2.93,md,14,258,0.136,0.1,pr,pr2020086021,2020-03-26T14:51:06.598Z,"14km S of Guanica, Puerto Rico",earthquake,0.66,0.35,0.2,8,reviewed,pr,pr
2020-03-26T13:53:37.777Z,19.1873,-67.8001,10,2.6,ml,,333,0.968,0.32,us,us70008gfi,2020-03-26T17:26:19.040Z,"92km NE of Punta Cana, Dominican Republic",earthquake,10.1,2,0.088,17,reviewed,us,us
2020-03-26T13:22:26.590Z,35.8535,-117.6951667,3.99,2.57,ml,27,47,0.07225,0.21,ci,ci39116415,2020-03-26T17:24:01.040Z,"21km ESE of Little Lake, CA",earthquake,0.31,0.79,0.167,25,automatic,ci,ci
2020-03-26T13:09:03.930Z,17.8395,-66.8515,5,2.79,md,13,227,0.1384,0.21,pr,pr2020086020,2020-03-26T13:57:12.251Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.68,0.46,0.17,8,reviewed,pr,pr
2020-03-26T12:50:17.030Z,17.8528,-66.7865,7,2.68,md,10,254,0.1535,0.22,pr,pr2020086019,2020-03-26T13:15:34.480Z,"16km SSE of Indios, Puerto Rico",earthquake,0.86,0.48,0.43,2,reviewed,pr,pr
2020-03-26T12:28:11.270Z,17.835,-66.8821,7,2.69,md,14,257,0.1401,0.16,pr,pr2020086018,2020-03-26T12:47:31.471Z,"15km S of Guanica, Puerto Rico",earthquake,0.63,0.56,0.23,10,reviewed,pr,pr
2020-03-26T12:18:29.650Z,18.0283,-66.7778,14,2.55,md,12,88,0.1145,0.15,pr,pr2020086017,2020-03-26T12:41:54.102Z,"1km NE of Guayanilla, Puerto Rico",earthquake,0.46,0.72,0.03,3,reviewed,pr,pr
2020-03-26T12:08:35.300Z,17.774,-66.8995,3,2.96,md,14,273,0.2021,0.33,pr,pr2020086016,2020-03-26T12:41:36.982Z,"21km S of Guanica, Puerto Rico",earthquake,1.04,0.76,0.34,9,reviewed,pr,pr
